SIPSN - Sistem Informasi Pengelolaan Sampah Nasional;;;;;;;;;;;;;
Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Nusa Tenggara Barat;Kab. Sumbawa;94820,43;2612,18;2,75;45786,50;48,29;48398,68;51,04;2612,18;;2,75;P 2
2022;Nusa Tenggara Barat;Kab. Bima;101102,08;37,44;0,04;11509,18;11,38;11546,62;11,42;37,44;;0,04;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Utara;37446,08;4625,89;12,35;20167,35;53,86;24793,24;66,21;225,06;;0,60;P 2
2022;Nusa Tenggara Barat;Kota Mataram;96436,87;13879,41;14,39;81362,72;84,37;95242,12;98,76;13424,13;29,77;13,95;P 2
2022;Nusa Tenggara Barat;Kota Bima;30189,37;14,24;0,05;28908,00;95,76;28922,24;95,80;14,24;;0,05;P 2
2022;Nusa Tenggara Timur;Kab. Manggarai Barat;30972,44;884,13;2,85;6268,51;20,24;7152,64;23,09;884,13;63,51;3,06;P 2
2022;Nusa Tenggara Timur;Kota Kupang;83192,63;5198,66;6,25;58396,35;70,19;63595,01;76,44;4374,88;;5,26;P 2
2022;Kalimantan Barat;Kab. Sambas;116112,00;2624,81;2,26;22188,47;19,11;24813,27;21,37;2592,29;;2,23;P 2
2022;Kalimantan Barat;Kab. Mempawah;30669,65;40,04;0,13;9037,40;29,47;9077,44;29,60;1,08;;0,00;P 2
2022;Kalimantan Barat;Kab. Sanggau;89841,83;33,85;0,04;18257,30;20,32;18291,15;20,36;5,38;;0,01;P 2
2022;Kalimantan Barat;Kab. Kapuas Hulu;48663,81;32,49;0,07;9033,75;18,56;9066,24;18,63;32,49;;0,07;P 2
2022;Kalimantan Barat;Kota Pontianak;146560,71;34453,51;23,51;107683,71;73,47;142137,21;96,98;30978,79;559,86;21,52;P 2
2022;Kalimantan Barat;Kota Singkawang;34297,93;5401,23;15,75;25882,15;75,46;31283,38;91,21;5137,44;;14,98;P 2
2022;Kalimantan Tengah;Kab. Kapuas;77235,83;1666,37;2,16;8059,93;10,44;9726,30;12,59;1076,17;29,93;1,43;P 2
2022;Kalimantan Tengah;Kab. Barito Selatan;24439,67;1227,56;5,02;2583,98;10,57;3811,55;15,60;1222,99;;5,00;P 2
2022;Kalimantan Tengah;Kab. Barito Utara;22603,87;1455,00;6,44;9168,80;40,56;10623,80;47,00;1455,00;43,80;6,63;P 2
2022;Kalimantan Tengah;Kab. Seruyan;29999,35;16,93;0,06;5999,69;20,00;6016,62;20,06;3,65;889,69;2,98;P 2
2022;Kalimantan Tengah;Kab. Gunung Mas;37058,36;311,34;0,84;6175,47;16,66;6486,81;17,50;311,34;;0,84;P 2
2022;Kalimantan Tengah;Kab. Pulang Pisau;24945,74;0,10;0,00;1547,60;6,20;1547,70;6,20;;;0,00;P 2
2022;Kalimantan Tengah;Kab. Murung Raya;20339,81;771,84;3,79;4015,00;19,74;4786,84;23,53;501,77;;2,47;P 2
2022;Kalimantan Tengah;Kab. Barito Timur;16798,32;308,38;1,84;4055,15;24,14;4363,53;25,98;308,38;;1,84;P 2
2022;Kalimantan Tengah;Kota Palangkaraya;55448,06;14523,38;26,19;40111,13;72,34;54634,51;98,53;12196,07;446,58;22,80;P 2
2022;Kalimantan Selatan;Kab. Tanah Laut;51807,37;2908,39;5,61;14884,70;28,73;17793,09;34,34;11,85;0,00;0,02;P 2
2022;Kalimantan Selatan;Kab. Kotabaru;66143,51;5649,18;8,54;12968,45;19,61;18617,63;28,15;511,00;;0,77;P 2
2022;Kalimantan Selatan;Kab. Banjar;149097,33;8721,79;5,85;105913,88;71,04;114635,66;76,89;1160,13;63,88;0,82;P 2
2022;Kalimantan Selatan;Kab. Barito Kuala;35179,83;7995,35;22,73;18724,50;53,23;26719,85;75,95;5966,76;2847,00;25,05;P 2
2022;Kalimantan Selatan;Kab. Tapin;29966,79;4829,02;16,11;16674,37;55,64;21503,39;71,76;4621,47;614,37;17,47;P 2
2022;Kalimantan Selatan;Kab. Hulu Sungai Selatan;35330,10;7549,79;21,37;18733,62;53,02;26283,41;74,39;2195,68;2454,63;13,16;P 2
2022;Kalimantan Selatan;Kab. Hulu Sungai Tengah;38070,08;7624,85;20,03;21803,82;57,27;29428,67;77,30;6828,12;519,58;19,30;P 2
2022;Kalimantan Selatan;Kab. Tabalong;37507,84;8381,51;22,35;26798,30;71,45;35179,82;93,79;3332,34;7,30;8,90;P 2
2022;Kalimantan Selatan;Kab. Tanah Bumbu;60743,48;10230,25;16,84;46498,81;76,55;56729,06;93,39;8606,00;;14,17;P 2
2022;Kalimantan Selatan;Kab. Balangan;20576,25;4025,70;19,56;14782,50;71,84;18808,20;91,41;2927,13;;14,23;P 2
2022;Kalimantan Selatan;Kota Banjarbaru;67079,71;16105,05;24,01;50897,02;75,88;67002,08;99,88;12200,93;1233,30;20,03;P 2
2022;Kalimantan Timur;Kab. Paser;43300,97;4574,67;10,56;26276,86;60,68;30851,53;71,25;2750,16;98,75;6,58;P 2
2022;Kalimantan Timur;Kab. Kutai Kartanegara;114524,75;18837,22;16,45;80372,27;70,18;99209,49;86,63;13819,93;91,76;12,15;P 2
2022;Kalimantan Timur;Kab. Berau;49801,88;9736,58;19,55;24936,80;50,07;34673,38;69,62;8414,85;;16,90;P 2
2022;Kalimantan Timur;Kab. Kutai Barat;25639,06;0,00;0,00;10482,97;40,89;10482,97;40,89;;;0,00;P 2
2022;Kalimantan Timur;Kab. Kutai Timur;77674,37;9944,70;12,80;35748,10;46,02;45692,80;58,83;5464,94;3628,10;11,71;P 2
2022;Kalimantan Timur;Kab. Penajam Paser Utara;35033,98;7891,81;22,53;21429,15;61,17;29320,96;83,69;1644,52;259,15;5,43;P 2
2022;Kalimantan Timur;Kab. Mahakam Ulu;5584,64;;;1460,00;26,14;1460,00;26,14;;;0,00;P 2
2022;Kalimantan Timur;Kota Balikpapan;187875,03;48848,58;26,00;137337,89;73,10;186186,46;99,10;35703,86;545,30;19,29;P 2
2022;Kalimantan Timur;Kota Samarinda;214347,89;42046,54;19,62;171784,81;80,14;213831,34;99,76;36488,18;759,55;17,38;P 2
2022;Kalimantan Timur;Kota Bontang;38046,40;10185,67;26,77;27731,41;72,89;37917,08;99,66;9678,29;442,92;26,60;P 2
2022;Kalimantan Utara;Kab. Nunukan;15576,81;3831,33;24,60;7897,21;50,70;11728,54;75,29;2412,79;1845,51;27,34;P 2
2022;Kalimantan Utara;Kab. Tana Tidung;5177,89;5,02;0,10;4097,71;79,14;4102,73;79,24;5,02;;0,10;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow;45712,24;3966,30;8,68;7300,00;15,97;11266,30;24,65;8,00;;0,02;P 2
2022;Sulawesi Utara;Kab. Minahasa;63632,82;17144,28;26,94;41245,00;64,82;58389,28;91,76;17041,85;;26,78;P 2
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;20393,86;1135,74;5,57;11811,40;57,92;12947,14;63,49;5,31;;0,03;P 2
2022;Sulawesi Utara;Kab. Minahasa Selatan;34523,60;4203,66;12,18;11265,00;32,63;15468,66;44,81;882,87;8,40;2,58;P 2
2022;Sulawesi Utara;Kab. Minahasa Utara;43114,17;5006,61;11,61;22885,50;53,08;27892,11;64,69;992,35;;2,30;P 2
2022;Sulawesi Utara;Kab. Minahasa Tenggara;16840,95;1641,93;9,75;7965,03;47,30;9606,96;57,05;30,00;8,03;0,23;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;12651,86;426,50;3,37;5657,50;44,72;6084,00;48,09;;;0,00;P 2
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;10776,55;619,40;5,75;3244,85;30,11;3864,25;35,86;;40,15;0,37;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;13476,24;675,25;5,01;912,50;6,77;1587,75;11,78;;0,00;0,00;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;10553,46;9,75;0,09;1533,00;14,53;1542,75;14,62;;;0,00;P 2
2022;Sulawesi Utara;Kota Manado;106241,06;5297,94;4,99;80957,00;76,20;86254,94;81,19;3455,14;657,00;3,87;P 2
2022;Sulawesi Utara;Kota Bitung;58055,22;2418,54;4,17;41245,00;71,04;43663,54;75,21;81,03;;0,14;P 2
2022;Sulawesi Utara;Kota Tomohon;18510,43;1638,83;8,85;13870,00;74,93;15508,83;83,78;;;0,00;P 2
2022;Sulawesi Utara;Kota Kotamobagu;31463,80;4554,80;14,48;22100,75;70,24;26655,55;84,72;2638,49;155,13;8,88;P 2
2022;Sulawesi Tengah;Kab. Banggai;68767,46;3965,61;5,77;44451,53;64,64;48417,14;70,41;424,33;3,29;0,62;P 2
2022;Sulawesi Tengah;Kab. Donggala;44232,89;1482,29;3,35;6834,99;15,45;8317,29;18,80;926,81;9,49;2,12;P 2
2022;Sulawesi Tengah;Kab. Morowali;30643,58;673,06;2,20;4262,58;13,91;4935,64;16,11;0,00;0,58;0,00;P 2
2022;Sulawesi Tengah;Kab. Parigi Moutong;82582,53;1687,38;2,04;5658,96;6,85;7346,34;8,90;1683,27;1,46;2,04;P 2
2022;Sulawesi Tengah;Kab. Sigi;47008,35;4429,30;9,42;10599,60;22,55;15028,90;31,97;266,85;;0,57;P 2
2022;Sulawesi Tengah;Kab. Banggai Laut;13549,90;208,08;1,54;4215,75;31,11;4423,83;32,65;208,08;;1,54;P 2
2022;Sulawesi Tengah;Kab. Morowali Utara;22308,80;;;3131,70;14,04;3131,70;14,04;;;0,00;P 2
2022;Sulawesi Tengah;Kota Palu;74073,65;6673,48;9,01;62513,55;84,39;69187,03;93,40;604,26;;0,82;P 2
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;20144,20;1030,46;5,12;5381,59;26,72;6412,05;31,83;897,24;;4,45;P 2
2022;Sulawesi Selatan;Kab. Bulukumba;65304,63;14131,96;21,64;47756,60;73,13;61888,56;94,77;2100,35;306,60;3,69;P 2
2022;Sulawesi Selatan;Kab. Bantaeng;29562,37;7596,73;25,70;9714,11;32,86;17310,84;58,56;7207,71;647,51;26,57;P 2
2022;Sulawesi Selatan;Kab. Jeneponto;59204,17;4938,25;8,34;20963,78;35,41;25902,03;43,75;2634,76;67,53;4,56;P 2
2022;Sulawesi Selatan;Kab. Sinjai;39319,84;9823,36;24,98;26451,55;67,27;36274,91;92,26;7440,53;;18,92;P 2
2022;Sulawesi Selatan;Kab. Bone;148115,18;23954,62;16,17;72927,00;49,24;96881,62;65,41;21917,80;;14,80;P 2
2022;Sulawesi Selatan;Kab. Maros;58951,00;13437,24;22,79;30112,50;51,08;43549,74;73,87;3292,65;182,50;5,89;P 2
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51530,55;5977,39;11,60;21911,01;42,52;27888,40;54,12;5456,27;11,01;10,61;P 2
2022;Sulawesi Selatan;Kab. Barru;27817,23;5004,01;17,99;13428,26;48,27;18432,27;66,26;5002,27;10,86;18,02;P 2
2022;Sulawesi Selatan;Kab. Soppeng;34393,80;3883,03;11,29;22795,35;66,28;26678,38;77,57;3160,51;102,20;9,49;P 2
2022;Sulawesi Selatan;Kab. Wajo;55428,46;3161,89;5,70;41705,56;75,24;44867,45;80,95;1274,79;105,78;2,49;P 2
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;47186,32;9182,19;19,46;26174,02;55,47;35356,22;74,93;8941,07;437,87;19,88;P 2
2022;Sulawesi Selatan;Kab. Pinrang;65861,77;15238,71;23,14;29183,87;44,31;44422,58;67,45;15089,11;;22,91;P 2
2022;Sulawesi Selatan;Kab. Enrekang;41740,67;6814,98;16,33;14308,00;34,28;21122,98;50,61;4913,33;4088,00;21,56;P 2
2022;Sulawesi Selatan;Kab. Luwu Timur;43874,61;6848,42;15,61;24528,00;55,90;31376,42;71,51;5636,91;73,00;13,01;P 2
2022;Sulawesi Selatan;Kab. Toraja Utara;57847,76;3068,63;5,30;16790,00;29,02;19858,63;34,33;3047,17;;5,27;P 2
2022;Sulawesi Selatan;Kota Parepare;28388,97;4813,84;16,96;21121,71;74,40;25935,55;91,36;1707,63;6,46;6,04;P 2
2022;Sulawesi Selatan;Kota Palopo;34187,91;2024,37;5,92;23086,25;67,53;25110,62;73,45;278,24;91,25;1,08;P 2
2022;Sulawesi Tenggara;Kab. Kolaka;44021,60;3234,49;7,35;12811,50;29,10;16045,99;36,45;3225,87;36,50;7,41;P 2
2022;Sulawesi Tenggara;Kab. Wakatobi;29455,57;5593,44;18,99;11209,15;38,05;16802,59;57,04;;7,30;0,02;P 2
2022;Sulawesi Tenggara;Kab. Kolaka Utara;20340,57;1150,77;5,66;4311,11;21,19;5461,89;26,85;678,73;113,61;3,90;P 2
2022;Sulawesi Tenggara;Kab. Buton Selatan;8026,71;;;1204,50;15,01;1204,50;15,01;;;0,00;P 2
2022;Sulawesi Tenggara;Kota Kendari;98476,88;18528,30;18,81;73328,94;74,46;91857,24;93,28;3299,91;328,94;3,68;P 2
2022;Sulawesi Tenggara;Kota Bau Bau;29923,25;3284,53;10,98;26280,00;87,82;29564,53;98,80;3212,00;;10,73;P 2
2022;Gorontalo;Kab. Gorontalo;57762,71;466,95;0,81;7639,45;13,23;8106,40;14,03;0,00;0,00;0,00;P 2
2022;Gorontalo;Kab. Bone Bolango;18198,90;2612,08;14,35;3546,70;19,49;6158,78;33,84;432,53;232,51;3,65;P 2
2022;Gorontalo;Kab. Pohuwato;21562,59;6725,84;31,19;6265,04;29,06;12990,88;60,25;5501,20;3118,74;39,98;P 2
2022;Gorontalo;Kota Gorontalo;51646,51;12541,70;24,28;36748,20;71,15;49289,90;95,44;11231,41;365,00;22,45;P 2
2022;Sulawesi Barat;Kab. Mamuju;51438,36;232455,45;451,91;7888,02;15,33;240343,46;467,25;232044,09;;451,11;P 2
2022;Sulawesi Barat;Kab. Majene;25898,94;763,02;2,95;11242,00;43,41;12005,02;46,35;723,52;;2,79;P 2
2022;Sulawesi Barat;Kab. Mamuju Tengah;20057,48;0,00;0,00;4745,00;23,66;4745,00;23,66;;;0,00;P 2
2022;Maluku;Kab. Maluku Tengah;62010,58;35,68;0,06;4745,00;7,65;4780,68;7,71;35,68;;0,06;P 2
2022;Maluku;Kab. Buru Selatan;11355,30;804,36;7,08;7635,80;67,24;8440,16;74,33;;;0,00;P 2
2022;Maluku Utara;Kab. Halmahera Utara;50497,02;517,21;1,02;12233,00;24,23;12750,21;25,25;517,21;;1,02;P 2
2022;Maluku Utara;Kota Tidore Kepulauan;16904,46;1598,62;9,46;11065,92;65,46;12664,54;74,92;1598,62;13,72;9,54;P 2
2022;Papua;Kab. Jayapura;31360,25;5665,65;18,07;23849,10;76,05;29514,75;94,12;5493,25;;17,52;P 2
2022;Papua;Kab. Kepulauan Yapen;16779,78;40,79;0,24;15899,40;94,75;15940,19;95,00;36,50;;0,22;P 2
2022;Papua;Kab. Biak Numfor;21434,55;3954,15;18,45;14800,75;69,05;18754,90;87,50;3863,50;18,25;18,11;P 2
2022;Papua;Kab. Sarmi;6109,95;0,00;0,00;2168,10;35,48;2168,10;35,48;;;0,00;P 2
2022;Papua;Kab. Waropen;5285,20;3,03;0,06;2190,00;41,44;2193,03;41,49;3,03;;0,06;P 2
2022;Papua;Kota Jayapura;79528,32;958,06;1,20;65692,70;82,60;66650,76;83,81;556,05;;0,70;P 2
2022;Papua Barat;Kab. Manokwari;59627,83;365,00;0,61;40861,75;68,53;41226,75;69,14;365,00;;0,61;P 2
2022;Papua Barat;Kab. Teluk Wondama;6697,17;0,00;0,00;2131,97;31,83;2131,97;31,83;;;0,00;P 2
2022;Papua Barat;Kab. Kaimana;9290,42;13,36;0,14;4595,35;49,46;4608,71;49,61;12,78;;0,14;P 2
2022;Papua Selatan;Kab. Merauke;33924,12;935,62;2,76;13172,12;38,83;14107,74;41,59;620,98;50,37;1,98;P 2
2022;Papua Selatan;Kab. Boven Digoel;9518,18;0,00;0,00;2153,50;22,63;2153,50;22,63;;;0,00;P 2
2022;Papua Selatan;Kab. Asmat;16624,29;178,65;1,07;3285,00;19,76;3463,65;20,83;164,25;;0,99;P 2
2022;Papua Tengah;Kab. Mimika;57742,09;0,00;0,00;29901,71;51,78;29901,71;51,78;;;0,00;P 2
2022;Papua Barat Daya;Kab. Sorong;18162,69;1343,48;7,40;5179,35;28,52;6522,83;35,91;885,99;;4,88;P 2
2021;Aceh;Kab. Aceh Selatan;34527,10;35,59;0,10;12775,00;37,00;12810,59;37,10;;;0,00;P 2
2021;Aceh;Kab. Gayo Lues;14757,24;1278,83;8,67;8405,95;56,96;9684,78;65,63;1277,50;;8,66;P 2
2021;Aceh;Kota Banda Aceh;90765,86;13935,87;15,35;74863,84;82,48;88799,71;97,83;13840,91;;15,25;P 2
2021;Aceh;Kota Sabang;6141,64;23,36;0,38;5847,30;95,21;5870,66;95,59;;;0,00;P 2
2021;Aceh;Kota Langsa;33883,32;8875,26;26,19;19296,82;56,95;28172,08;83,14;540,78;32,12;1,69;P 2
2021;Aceh;Kota Subulussalam;16529,21;;;14600,00;88,33;14600,00;88,33;;;0,00;P 2
2021;Sumatera Utara;Kab. Tapanuli Tengah;66644,80;162,50;0,24;12045,00;18,07;12207,50;18,32;;;0,00;P 2
2021;Sumatera Utara;Kab. Tapanuli Utara;46799,13;282,65;0,60;25294,50;54,05;25577,15;54,65;;;0,00;P 2
2021;Sumatera Utara;Kab. Langkat;189685,76;2618,91;1,38;30116,15;15,88;32735,06;17,26;2618,91;186,15;1,48;P 2
2021;Sumatera Utara;Kab. Karo;82781,59;4331,83;5,23;24884,97;30,06;29216,80;35,29;1172,76;;1,42;P 2
2021;Sumatera Utara;Kab. Deli Serdang;408129,86;45121,79;11,06;152774,40;37,43;197896,19;48,49;40762,74;1226,40;10,29;P 2
2021;Sumatera Utara;Kab. Simalungun;189456,90;52445,31;27,68;70092,78;37,00;122538,09;64,68;31,32;12,78;0,02;P 2
2021;Sumatera Utara;Kab. Asahan;170300,09;1715,50;1,01;22414,65;13,16;24130,15;14,17;182,50;;0,11;P 2
2021;Sumatera Utara;Kab. Toba;31170,85;2267,11;7,27;11541,30;37,03;13808,41;44,30;138,17;;0,44;P 2
2021;Sumatera Utara;Kota Medan;645012,56;65390,74;10,14;328500,00;50,93;393890,74;61,07;57237,19;;8,87;P 2
2021;Sumatera Utara;Kota Pematang Siantar;85052,00;17591,10;20,68;63510,00;74,67;81101,10;95,35;13001,32;2555,00;18,29;P 2
2021;Sumatera Utara;Kota Tebing Tinggi;45077,61;10531,06;23,36;31876,59;70,71;42407,65;94,08;10267,62;315,04;23,48;P 2
2021;Sumatera Barat;Kab. Pesisir Selatan;55233,77;9931,76;17,98;12775,00;23,13;22706,76;41,11;8833,59;7,30;16,01;P 2
2021;Sumatera Barat;Kab. Tanah Datar;46806,83;7452,49;15,92;16680,54;35,64;24133,03;51,56;7202,69;550,63;16,56;P 2
2021;Sumatera Barat;Kab. Agam;78412,95;1848,43;2,36;18696,83;23,84;20545,26;26,20;1840,05;5,18;2,35;P 2
2021;Sumatera Barat;Kab. Lima Puluh Kota;56295,41;10063,09;17,88;6887,55;12,23;16950,64;30,11;6260,80;18,25;11,15;P 2
2021;Sumatera Barat;Kab. Pasaman;44253,04;7805,88;17,64;7183,53;16,23;14989,41;33,87;1595,71;;3,61;P 2
2021;Sumatera Barat;Kab. Dharmasraya;37411,62;4244,20;11,34;29448,20;78,71;33692,40;90,06;1654,80;;4,42;P 2
2021;Sumatera Barat;Kab. Solok Selatan;26988,10;21,57;0,08;5120,95;18,97;5142,52;19,05;;;0,00;P 2
2021;Sumatera Barat;Kota Padang;233385,96;524631,55;224,79;170688,60;73,14;695320,15;297,93;493509,69;29,20;211,47;P 2
2021;Sumatera Barat;Kota Solok;19663,02;2967,97;15,09;16623,63;84,54;19591,60;99,64;2845,34;7,63;14,51;P 2
2021;Sumatera Barat;Kota Sawahlunto;6843,52;1407,80;20,57;5108,17;74,64;6515,97;95,21;974,75;20,08;14,54;P 2
2021;Sumatera Barat;Kota Padang Panjang;17519,42;1285,39;7,34;15706,68;89,65;16992,07;96,99;356,65;70,08;2,44;P 2
2021;Sumatera Barat;Kota Payakumbuh;36063,06;6030,57;16,72;29884,16;82,87;35914,73;99,59;5105,79;85,56;14,40;P 2
2021;Riau;Kab. Indragiri Hilir;168125,39;4068,95;2,42;19345,00;11,51;23413,95;13,93;4068,95;;2,42;P 2
2021;Riau;Kab. Siak;69739,82;13573,25;19,46;40369,00;57,89;53942,25;77,35;5663,56;;8,12;P 2
2021;Riau;Kota Pekanbaru;353133,89;63523,07;17,99;222700,37;63,06;286223,44;81,05;63427,41;17,16;17,97;P 2
2021;Riau;Kota Dumai;59029,99;7874,73;13,34;49051,99;83,10;56926,72;96,44;6098,50;;10,33;P 2
2021;Jambi;Kab. Merangin;72545,03;16863,33;23,25;35262,65;48,61;52125,98;71,85;5514,93;19107,75;33,94;P 2
2021;Jambi;Kab. Bungo;56722,46;11652,08;20,54;28932,67;51,01;40584,75;71,55;8571,58;7652,06;28,60;P 2
2021;Jambi;Kota Jambi;158106,98;34795,35;22,01;118999,31;75,27;153794,65;97,27;11183,15;;7,07;P 2
2021;Sumatera Selatan;Kab. Muara Enim;148459,04;35709,51;24,05;33580,00;22,62;69289,51;46,67;15293,19;;10,30;P 2
2021;Sumatera Selatan;Kab. Lahat;112361,75;4826,10;4,30;27740,00;24,69;32566,10;28,98;4826,10;;4,30;P 2
2021;Sumatera Selatan;Kab. Musi Banyuasin;90842,08;19703,94;21,69;18841,30;20,74;38545,24;42,43;13317,43;;14,66;P 2
2021;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;102228,32;4268,60;4,18;39967,50;39,10;44236,10;43,27;2002,79;;1,96;P 2
2021;Sumatera Selatan;Kota Palembang;430791,65;91748,02;21,30;321390,61;74,60;413138,63;95,90;65777,38;;15,27;P 2
2021;Sumatera Selatan;Kota Prabumulih;35426,54;8003,83;22,59;23517,69;66,38;31521,53;88,98;7434,35;;20,99;P 2
2021;Bengkulu;Kab. Seluma;38966,12;0,00;0,00;1551,25;3,98;1551,25;3,98;;;0,00;P 2
2021;Lampung;Kab. Lampung Tengah;172707,86;3905,50;2,26;25550,00;14,79;29455,50;17,06;0,00;0,00;0,00;P 2
2021;Lampung;Kab. Tanggamus;89783,28;793,38;0,88;10220,00;11,38;11013,38;12,27;;;0,00;P 2
2021;Lampung;Kab. Way Kanan;70036,49;512,59;0,73;4361,76;6,23;4874,36;6,96;334,87;419,76;1,08;P 2
2021;Lampung;Kab. Pringsewu;59396,16;31,28;0,05;11016,57;18,55;11047,85;18,60;31,28;1225,31;2,12;P 2
2021;Lampung;Kota Bandar Lampung;281129,15;47942,50;17,05;160600,00;57,13;208542,50;74,18;26550,85;;9,44;P 2
2021;Lampung;Kota Metro;37912,84;5172870,29;13644,11;27375,00;72,21;5200245,29;13716,32;5172455,04;;13643,02;P 2
2021;Kepulauan Bangka Belitung;Kab. Bangka;47634,69;4285,73;9,00;27389,78;57,50;31675,51;66,50;2164,21;39,60;4,63;P 2
2021;Kepulauan Bangka Belitung;Kab. Belitung;26533,31;4526,77;17,06;7172,98;27,03;11699,75;44,09;4524,25;8,40;17,08;P 2
2021;Kepulauan Bangka Belitung;Kab. Bangka Selatan;29247,45;5331,58;18,23;12982,84;44,39;18314,41;62,62;2068,98;361,13;8,31;P 2
2021;Kepulauan Bangka Belitung;Kab. Bangka Tengah;29627,05;5848,23;19,74;4777,85;16,13;10626,08;35,87;327,48;;1,11;P 2
2021;Kepulauan Bangka Belitung;Kota Pangkal Pinang;58399,38;7231,18;12,38;48937,37;83,80;56168,55;96,18;22,13;0,00;0,04;P 2
2021;Kepulauan Riau;Kab. Bintan;20326,42;4826,98;23,75;15019,75;73,89;19846,73;97,64;901,85;;4,44;P 2
2021;Kepulauan Riau;Kab. Karimun;66289,99;8674,00;13,08;31546,95;47,59;40220,95;60,67;7751,60;;11,69;P 2
2021;Kepulauan Riau;Kota Tanjung Pinang;55366,32;11812,73;21,34;32302,50;58,34;44115,23;79,68;11783,02;543,85;22,26;P 2
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;6429,48;1560,98;24,28;329,42;5,12;1890,40;29,40;1393,35;329,42;26,79;P 2
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;309298,18;74370,68;24,04;234033,57;75,67;308404,25;99,71;44289,02;14628,43;19,05;P 2
2021;DKI Jakarta;Kota Adm. Jakarta Utara;494454,86;119690,62;24,21;367759,40;74,38;487450,02;98,58;35913,27;;7,26;P 2
2021;DKI Jakarta;Kota Adm. Jakarta Barat;729092,61;185735,40;25,47;544177,17;74,64;729912,57;100,11;59914,70;161,69;8,24;P 2
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;707201,35;171622,21;24,27;532885,52;75,35;704507,73;99,62;127106,81;;17,97;P 2
2021;DKI Jakarta;Kota Adm. Jakarta Timur;836961,37;203505,72;24,31;;;203505,72;24,31;202041,35;;24,14;P 2
2021;Jawa Barat;Kab. Bandung;462939,17;173379,50;37,45;115496,95;24,95;288876,45;62,40;124878,94;5996,95;28,27;P 2
2021;Jawa Barat;Kab. Garut;408821,79;30458,80;7,45;80942,40;19,80;111401,20;27,25;29871,57;;7,31;P 2
2021;Jawa Barat;Kab. Ciamis;208818,25;100663,13;48,21;58473,00;28,00;159136,14;76,21;94034,27;4416,50;47,15;P 2
2021;Jawa Barat;Kab. Cirebon;451549,60;8585,94;1,90;65700,00;14,55;74285,94;16,45;8569,45;;1,90;P 2
2021;Jawa Barat;Kab. Sumedang;161462,89;6639,58;4,11;43135,70;26,72;49775,28;30,83;6639,58;;4,11;P 2
2021;Jawa Barat;Kab. Indramayu;402455,25;48430,29;12,03;195083,61;48,47;243513,90;60,51;14571,24;49,14;3,63;P 2
2021;Jawa Barat;Kota Bogor;245922,33;49345,57;20,07;186844,17;75,98;236189,74;96,04;679,42;2884,17;1,45;P 2
2021;Jawa Barat;Kota Sukabumi;65795,65;15460,02;23,50;49221,92;74,81;64681,95;98,31;3258,07;1,64;4,95;P 2
2021;Jawa Barat;Kota Bandung;581280,03;50396,23;8,67;468669,03;80,63;519065,25;89,30;50301,33;1665,74;8,94;P 2
2021;Jawa Barat;Kota Cirebon;74631,55;6926,59;9,28;53563,75;71,77;60490,34;81,05;23,69;0,00;0,03;P 2
2021;Jawa Barat;Kota Bekasi;867236,75;3740,40;0,43;438190,53;50,53;441930,93;50,96;97,19;190,53;0,03;P 2
2021;Jawa Barat;Kota Depok;479660,75;75942,38;15,83;387195,16;80,72;463137,55;96,56;67317,43;24385,16;19,12;P 2
2021;Jawa Barat;Kota Cimahi;100289,42;17177,75;17,13;77092,38;76,87;94270,14;94,00;16875,17;;16,83;P 2
2021;Jawa Tengah;Kab. Cilacap;344409,04;46495,24;13,50;224049,15;65,05;270544,39;78,55;759,04;145778,55;42,55;P 2
2021;Jawa Tengah;Kab. Banyumas;195357,75;128388,43;65,72;63106,24;32,30;191494,67;98,02;23549,42;4706,24;14,46;P 2
2021;Jawa Tengah;Kab. Purbalingga;184585,06;1920,78;1,04;39785,00;21,55;41705,78;22,59;;;0,00;P 2
2021;Jawa Tengah;Kab. Purworejo;105420,18;26870,36;25,49;19116,55;18,13;45986,92;43,62;24460,68;2169,60;25,26;P 2
